cluster	priority	recommended_action	volume_band	phrase	frequency_msk_spb	seed	source
AI_SYSTEMS	P1	search_keyword_cluster	high	ai агенты	3764	ai агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	high	внедрение искусственного интеллекта	2315	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	ии для бизнеса	1763	ии для бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	цифровая трансформация бизнеса	1680	цифровая трансформация бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	high	разработка искусственного интеллекта	1408	разработка искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	ии сотрудники	1364	ии сотрудник	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	автоматизация бизнес процессов	1353	автоматизация бизнес процессов	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	high	локальные llm	1225	локальная llm	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	цифровой сотрудник	1104	цифровой сотрудник	wordstat_existing
BRAND_COMPETITOR	P2	separate_competitor_or_audience	high	just ai	1020	just ai	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	high	промпт инжиниринг	966	промпт инжиниринг	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	high	обезличивание данных	872	обезличивание данных	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	high	внедрение технологий искусственного интеллекта	829	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	нейросеть для документов	772	нейросеть для документов	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	high	мультиагентные системы	749	мультиагентные системы	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	high	rag система	747	rag система	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	high	создание ии агента	729	ии агент	wordstat_extra
INFO	P3	content_or_cpc_minus	high	как создать ии агента	679	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	high	нейросети для бизнеса	652	нейросети для бизнеса	wordstat_existing
INFO	P3	content_or_cpc_minus	high	что такое ии агент	553	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	разработка нейросетей	472	разработка нейросетей	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка технологий искусственного интеллекта	443	разработка искусственного интеллекта	wordstat_existing
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	автоматизация документооборота	420	автоматизация документооборота	wordstat_existing
NEGATIVE	P0	minus_candidate	mid	бесплатные ии агенты	419	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	внедрение систем искусственного интеллекта	377	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровая трансформация бизнес процессов	366	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	искусственный интеллект для бизнеса	364	искусственный интеллект для бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровой ассистент	347	цифровой ассистент	wordstat_extra
ADJACENT_CASE	P2	separate_adjacent_or_rsya	mid	разработка чат ботов	332	разработка чат ботов	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	автоматизация процессов компании	321	автоматизация компании	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	внедрение ии в бизнес	310	внедрение ии в бизнес	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка ии агентов	296	разработка ии агентов	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	лучшие ии агенты	285	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	разработка системы искусственного интеллекта	279	разработка искусственного интеллекта	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка систем ии	276	разработка ии систем	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	компании по автоматизации	267	автоматизация компании	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	ии для руководителей	257	ии для руководителя	wordstat_existing
AI_SYSTEMS	P1	search_keyword_cluster	mid	ии агенты для бизнеса	255	ии для бизнеса	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	разработка и внедрение искусственного интеллекта	254	внедрение искусственного интеллекта	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	модели цифровой трансформации бизнеса	254	цифровая трансформация бизнеса	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	системы автоматизации компания	254	автоматизация компании	wordstat_existing
INFO	P3	content_or_cpc_minus	mid	как сделать ии агента	243	ии агент	wordstat_extra
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровая трансформация экономики бизнеса	241	цифровая трансформация бизнеса	wordstat_existing
SECURITY_PRIVACY	P1	keyword_and_ad_message	mid	локальный ии агент	238	ии агент	wordstat_extra
HOT_SERVICE	P1	search_keyword_core	mid	внедрение ии в компании	235	внедрение ии в компанию	wordstat_existing
HOT_SERVICE	P1	search_keyword_core	mid	создание и внедрение в искусственный интеллект	228	внедрение искусственного интеллекта	wordstat_existing
WARM_CATEGORY	P1	search_keyword_broad_or_rsya	mid	цифровая трансформация управления бизнесом	228	цифровая трансформация бизнеса	wordstat_existing
