cluster	phrases	sum_frequency	top_phrases
WARM_CATEGORY	229	17844	ии для бизнеса (1763); цифровая трансформация бизнеса (1680); ии сотрудники (1364); автоматизация бизнес процессов (1353); цифровой сотрудник (1104); нейросеть для документов (772); нейросети для бизнеса (652); цифровая трансформация бизнес процессов (366); искусственный интеллект для бизнеса (364); цифровой ассистент (347); автоматизация процессов компании (321); компании по автоматизации (267)
HOT_SERVICE	82	11834	внедрение искусственного интеллекта (2315); разработка искусственного интеллекта (1408); внедрение технологий искусственного интеллекта (829); создание ии агента (729); разработка нейросетей (472); разработка технологий искусственного интеллекта (443); внедрение систем искусственного интеллекта (377); внедрение ии в бизнес (310); разработка ии агентов (296); разработка системы искусственного интеллекта (279); разработка систем ии (276); разработка и внедрение искусственного интеллекта (254)
OTHER_REVIEW	245	9258	российские разработки искусственного интеллекта (214); технологии цифровой трансформации бизнеса (213); агент модели ии (200); сотрудники ии компаний (177); компании автоматизация решения (156); ий под ключ (144); цифровой отзывы сотрудников (110); разработки в сфере искусственного интеллекта (105); автоматизация работы компании (105); ии для создания бизнеса (104); кодекс агент ии (103); цифровые трансформации развития бизнеса (102)
AI_SYSTEMS	94	8755	ai агенты (3764); мультиагентные системы (749); rag система (747); ии агенты для бизнеса (255); ai ии агент (213); чат ии агентов (181); система ии агентов (155); автономные ии агенты (116); управление ии агентами (102); ии агент инструмент (96); gpt для бизнеса (95); ии агенты и автоматизация (93)
INFO	175	8047	как создать ии агента (679); что такое ии агент (553); лучшие ии агенты (285); модели цифровой трансформации бизнеса (254); как сделать ии агента (243); бизнес в условиях цифровой трансформации (215); цель внедрения искусственного интеллекта (212); ии агент использовать (171); использование ии агентов (155); закон о внедрении искусственного интеллекта (154); ии агент исследовать (144); ии агенты примеры (141)
ADJACENT_CASE	121	4215	промпт инжиниринг (966); автоматизация документооборота (420); разработка чат ботов (332); чат бот для бизнеса (217); транскрибация встречи (128); система автоматизации документооборота (119); автоматизация электронного документооборота (114); протокол встречи ии (86); внедрение rpa (81); процесс автоматизации документооборот (78); корпоративный чат бот (53); автоматизации управления документооборотом (52)
NEGATIVE	119	3798	бесплатные ии агенты (419); ии агенты обучение (217); работа с ии агентами (188); курс по ии агентам (178); ии агент алиса (175); алиса ai агент (119); разработка искусственного интеллекта обучение (114); курс нейросети для бизнеса (103); курс ии для бизнеса (99); ии агент скачать (99); обучение сотрудников ии (84); обучение внедрение искусственного интеллекта (83)
SECURITY_PRIVACY	68	3590	локальные llm (1225); обезличивание данных (872); локальный ии агент (238); локальные llm модели (153); обезличивание персональных данных обработка (90); локальный запуск llm (64); локальные ai агенты (55); обезличивание блокирование персональных данных (47); обезличивание блокирование уничтожение персональных данных (44); цифровая трансформация бизнеса безопасность (40); обезличивание блокирование удаление уничтожение персональных данных (34); уничтожение и обезличивание персональных данных (31)
BRAND_COMPETITOR	38	2369	just ai (1020); яндекс ии агент (221); ии агент claude (166); ии агент сбер (109); just ai platform (98); agent platform just ai (89); ии агент клод (87); just ai компания (66); яндекс ai агенты (58); just ai com (55); ai агент claude (54); яндекс ии для бизнеса (49)
INDUSTRY_PRODUCTION	23	784	ии для производства (184); автоматизация производства компании (112); ии для промышленности (90); компания промышленная автоматизация (74); искусственный интеллект на производстве (74); системы предиктивного обслуживания (71); предиктивное техническое обслуживание (50); системы автоматизация производства компании (29); применение искусственного интеллекта на производстве (12); предиктивное обслуживание ии (12); ии решения для производства (10); внедрение системы предиктивного обслуживания (10)
INDUSTRY_OTHER	11	288	внедрение искусственного интеллекта здравоохранения (82); внедрение искусственного интеллекта в образование (63); внедрение технологий искусственного интеллекта в здравоохранении (36); внедрение искусственного интеллекта в медицине (31); внедрение технологий искусственного интеллекта в образование (24); внедрение искусственного интеллекта в банки (24); разработки искусственного интеллекта в медицине (14); промпт инжиниринг в образовании (6); промпт инжиниринг от ит школы ростелеком (4); цифровые медицинские ассистенты и чат боты (2); промпт инжиниринг в биомедицине (2)
