ym:s:date,ym:s:lastSignTrafficSource,ym:s:visits,ym:s:goal566497705reaches
2026-05-25,Ad traffic,74.0,0.0
2026-05-26,Direct traffic,8.0,0.0
2026-05-26,Ad traffic,7.0,0.0
2026-05-23,Direct traffic,6.0,0.0
2026-06-05,Link traffic,5.0,0.0
2026-05-25,Direct traffic,4.0,0.0
2026-06-01,Direct traffic,3.0,0.0
2026-05-23,Internal traffic,2.0,0.0
2026-05-29,Direct traffic,2.0,0.0
2026-06-03,Direct traffic,2.0,0.0
2026-06-05,Direct traffic,2.0,0.0
2026-05-23,Link traffic,1.0,0.0
2026-05-24,Direct traffic,1.0,0.0
2026-05-25,Internal traffic,1.0,0.0
2026-05-25,Link traffic,1.0,0.0
2026-05-26,Internal traffic,1.0,0.0
2026-05-26,Link traffic,1.0,0.0
2026-05-28,Ad traffic,1.0,0.0
2026-05-29,Ad traffic,1.0,0.0
2026-05-30,Direct traffic,1.0,0.0
2026-05-30,Link traffic,1.0,0.0
2026-05-31,Direct traffic,1.0,0.0
