recommendation	placement	known_policy	clicks	cost_rub	conversions	cpa_rub	conversion_rate_pct	impressions	ad_network_types	campaigns	reason	raw_examples
ok	dsp.yandex.ru		393.00	875.69	0.00	0.00	0.00	1201.00	AD_NETWORK	Портфолио		dsp.yandex.ru
ok	dsp-webeye.yandex.ru		90.00	269.92	0.00	0.00	0.00	286.00	AD_NETWORK	Портфолио		dsp-webeye.yandex.ru
ok	яндекс		7.00	227.45	0.00	0.00	0.00	116.00	SEARCH	Портфолио		Яндекс
ok	dsp-opera-exchange.yandex.ru		53.00	161.60	0.00	0.00	0.00	618.00	AD_NETWORK	Портфолио		dsp-opera-exchange.yandex.ru
ok	com.fugo.wow		60.00	120.26	0.00	0.00	0.00	271.00	AD_NETWORK	Портфолио		com.fugo.wow
ok	dzen.ru		8.00	116.10	0.00	0.00	0.00	323.00	AD_NETWORK	Портфолио		dzen.ru
ok	com.vitastudio.mahjong		27.00	87.05	0.00	0.00	0.00	109.00	AD_NETWORK	Портфолио		com.vitastudio.mahjong
ok	dsp-yeahmobi.yandex.ru		22.00	84.55	0.00	0.00	0.00	96.00	AD_NETWORK	Портфолио		dsp-yeahmobi.yandex.ru
ok	game.yandex.ru		5.00	82.73	0.00	0.00	0.00	182.00	AD_NETWORK	Портфолио		game.yandex.ru
ok	com.oakever.tiletrip		16.00	70.28	0.00	0.00	0.00	52.00	AD_NETWORK	Портфолио		com.oakever.tiletrip
ok	com.imo.android.imoim		6.00	64.41	0.00	0.00	0.00	26.00	AD_NETWORK	Портфолио		com.imo.android.imoim
ok	ru.yandex.mail		1.00	44.64	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		ru.yandex.mail
ok	com.openmygame.games.android.wordpizza		35.00	39.80	0.00	0.00	0.00	108.00	AD_NETWORK	Портфолио		com.openmygame.games.android.wordpizza
ok	com.fc.goods.sort.matching.puzzle.triplemaster		6.00	38.10	0.00	0.00	0.00	10.00	AD_NETWORK	Портфолио		com.fc.goods.sort.matching.puzzle.triplemaster
ok	dsp-mintagral.yandex.ru		14.00	27.15	0.00	0.00	0.00	181.00	AD_NETWORK	Портфолио		dsp-mintagral.yandex.ru
ok	yandex.ru		5.00	24.37	0.00	0.00	0.00	90.00	AD_NETWORK	Портфолио		yandex.ru
ok	mail.ru		2.00	23.76	0.00	0.00	0.00	53.00	AD_NETWORK	Портфолио		mail.ru
ok	com.vpn.ifylite.vpnfree.lite		1.00	19.66	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.vpn.ifylite.vpnfree.lite
ok	com.openmygame.magicwordsearch		13.00	17.59	0.00	0.00	0.00	44.00	AD_NETWORK	Портфолио		com.openmygame.magicwordsearch
ok	dsp-inneractive.yandex.ru		6.00	15.87	0.00	0.00	0.00	12.00	AD_NETWORK	Портфолио		dsp-inneractive.yandex.ru
ok	com.tripledot.woodoku		2.00	12.55	0.00	0.00	0.00	3.00	AD_NETWORK	Портфолио		com.tripledot.woodoku
ok	win.mail.ru		1.00	9.44	0.00	0.00	0.00	203.00	AD_NETWORK	Портфолио		win.mail.ru
ok	com.fly.ultra.free.vpn.high		1.00	8.75	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.fly.ultra.free.vpn.high
ok	com.block.juggle		7.00	8.69	0.00	0.00	0.00	27.00	AD_NETWORK	Портфолио		com.block.juggle
ok	dsp-xiaomi.yandex.ru		7.00	8.20	0.00	0.00	0.00	36.00	AD_NETWORK	Портфолио		dsp-xiaomi.yandex.ru
ok	com.blockpuzzle.us.ios		4.00	7.47	0.00	0.00	0.00	12.00	AD_NETWORK	Портфолио		com.blockpuzzle.us.ios
ok	kidultlovin.word.zen		3.00	7.28	0.00	0.00	0.00	11.00	AD_NETWORK	Портфолио		kidultlovin.word.zen
ok	com.changwan.cagechatter.huawei		1.00	7.08	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.changwan.cagechatter.huawei
ok	dsp-ironsource.yandex.ru		1.00	6.58	0.00	0.00	0.00	6.00	AD_NETWORK	Портфолио		dsp-ironsource.yandex.ru
ok	com.orangeapps.piratetreasures		1.00	6.17	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.orangeapps.piratetreasures
ok	com.panthera.mecha.fight		1.00	5.21	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.panthera.mecha.fight
ok	dsp-unityads.yandex.ru		1.00	5.04	0.00	0.00	0.00	46.00	AD_NETWORK	Портфолио		dsp-unityads.yandex.ru
ok	com.miui.cleaner		1.00	4.91	0.00	0.00	0.00	1.00	AD_NETWORK	Портфолио		com.miui.cleaner
ok	com.openmygame.games.android.fillwordsoffline		1.00	4.01	0.00	0.00	0.00	13.00	AD_NETWORK	Портфолио		com.openmygame.games.android.fillwordsoffline
